"","x"
"71","bsdk check kar kitne muslim h world k top richest me aur india me che"
"72","rtfrance banned muslim women from covering their face i wonder if they have this same energy now lol"
"73","rtfrance banned muslim women from covering their face i wonder if they have this same energy now lol"
"74","rtrihanna the mother of the missing girl aarzoo tells how her daughter is missing since the antimuslim pogrom in delhi"
"75","rtmuslim brotherhood activist wantsto infect govt officials with coronaviruseven in the time of crisis when humanity"
"76","contact details of halal food near meglobal muslim directory
visit here for complete contact details of halal fo"
"77","rtriz ahmeds new short film depicts british muslims as being in a similar situation to jews in s europe this is insan"
"78","rtso for those of you curious i cant guarantee that ill getof the details right but let just one muslim explain thei"
"79","rtwe observe and remember
we promise neverforget 
crookedhillaryobama lied about a video
invited a muslim cleric to curse"
"80","rtmuslim youth being picked up in different areas of northeast delhi locals say that those who have been guarding their loc"
"81","rtsick

a new york muslim brotherhood member is urging those infected with the chinese virus to deliberately infect gover"
"82","rtman we really gotta start wakin up 

oneminuteislam 
coronavirusoutbreak 
reflect 
muslim 
muslimtwitter"
"83","rtwhich country are you from"
"84","rtim not a muslim but wtf is this this is never going to happen no matter how long you fight for it if you want others"
"85","rtim not a muslim but wtf is this this is never going to happen no matter how long you fight for it if you want others"
"86","rti am so sorry india
i am ashamed as a muslim today
while the entire world is facing life threatening experiences
today"
"87","rtall mr shareef knows is that his son mohammad rais was one of almostpeople killed in the hindumuslim riots whi"
"88","whoever is not merciful to the creation will not be shown mercy by allah muslim fadail virtuestirmid"
"89","rti am so sorry india
i am ashamed as a muslim today
while the entire world is facing life threatening experiences
today"
"90","rtthough i am not a muslim i want this corona thingy to go away before ramadhan 

i love ramadhani love to go to baza"
"91","rtsick

a new york muslim brotherhood member is urging those infected with the chinese virus to deliberately infect gover"
"92","rtmassive prayer gathering is held to read healing verses against coronavirus in bangladesh"
"93","rtserve dont just observe this wonderful manly egyptian is the reward for being submissive he needs submissive boysluts"
"94","rtsick

a new york muslim brotherhood member is urging those infected with the chinese virus to deliberately infect gover"
"95","when you live the book talking about the q the holy quran live the holy quran you live the holy quran you can recit"
"96","rtnov rd

we will take the house back"
"97","rtwtf njmosques will be allowed to use loudspeakers to announce the call to prayer during a hour span x a day e"
"98","rtim not a muslim but wtf is this this is never going to happen no matter how long you fight for it if you want others"
"99","rtup police brutally attack muslim women protesters in ghantaghar lucknow up

anti nrc npr caa protest ghantaghar luck"
"100","rtwhoever wants to take an oath should take it in the name of allah or keep silent muslim"
"101","rtislam is so oppressed in india that mosques continue to function to host uncancellable mass scared muslim gatheringsti"
"102","rtif you want know islam learn from islam not muslim"
"103","rteid is a precious gift from allah after ramadan may this special day bring boundless peace and happiness to you 
eidm"
"104","rtwill cair condemn this video 

hamas tv cartoon depicts terror attack in an israeli shopping mall terrorist impersonates isra"
"105","rtif you want know islam learn from islam not muslim"
"106","rtthis tweet is so rude please respect kaabah as a holy place for muslim and please respect my religion guys i need your"
"107","rthindu makkal katchi tirupur northern district secretary has been murderously attacked w deadly weapons by muslim jihad"
"108","rtmuslim detainees died in assam concentration camps ina new report reveals"
"109","rtremember when seungcheol asked for permission to touch a muslim carat because she was wearing a hijab he really is the most"
"110","many muslim translators render the verb based on the root mkr makaroo makara differentl"
"111","rtremember when seungcheol asked for permission to touch a muslim carat because she was wearing a hijab he really is the most"
"112","rtjust saw a malay girl complainung about how frustrated she is that her non muslim boyfriend isnt opening his heart to"
"113","rtthis tweet is so rude please respect kaabah as a holy place for muslim and please respect my religion guys i need your"
"114","rtthe prophet peace be upon him said that the believer is a positive thinker and not a negative thinker to further emp"
"115","and as someone has gone through and i guess is still going through lol the tumultuous phase of"
"116","rtim very tired of conservative muslim organizations only reaching out to me when its time to raise money while ignoring lg"
"117","shame on muslim stores who are inflating prices due to the pandemic it isnt just unislamic and unethical but also prosecutable by the law"
"118","rtif you want know islam learn from islam not muslim"
"119","ex husbands mother was more viking only one set of children from the nd husband but if saying someone muslim ha"
"120","rtmuslim detainees died in assam concentration camps ina new report reveals"
"121","not many almost shia muslim students who go thr under iranian govt funded scholarship program"
"122","rtwill cair condemn this video 

hamas tv cartoon depicts terror attack in an israeli shopping mall terrorist impersonates isra"
"123","rtmuslim preacher says coronavirus is allahs punishment for infidelsthen gets infected"
"124","but who has the guts to tame muslim every partyincludingis trying to appease them"
"125","i havent come across a black muslim yet that stayed true to that fake ass religion"
"126","rtattention illinois voters

your tuesdayprimary has the daughter of a muslim servingyears for libyanfunded ter"
"127","rtapparently an italian woman went to egypt to burry her egyptian husband who died from corona she didnt tell anyone"
"128","rtthis is the quarantine facility pakistan is giving its citizenspakistan the worlds only muslim nuclear power tha"
"129","rtremember when seungcheol asked for permission to touch a muslim carat because she was wearing a hijab he really is the most"
"130","rtthe caa protests were a continuation of the anti muslim communal politics of hindutvaadis in pow"
"131","rtremember when seungcheol asked for permission to touch a muslim carat because she was wearing a hijab he really is the most"
"132","rtjust contributedafter reading this article feel proud ofthat there"
"133","at the day of judgement when rasool allah peace be upon him will ask mujeeb ur rehman the traitor of muslim ummah"
"134","rtremember when seungcheol asked for permission to touch a muslim carat because she was wearing a hijab he really is the most"
"135","rtin order to reduce the spreading of covid we appreciate that all our muslim brotherssisters who will be attending for jum"
"136","rtthread 

here i am compiling videosphotosnews related to antimuslim pogrom delhi 
delhigenocide delhiriottruth delhige"
"137","rtthe uttering of these words is dearer to me than anything over which the sun rises muslim"
"138","published by a leading news agency in india the caption reads now pakistan will die the death of coronait"
"139","rthindu makkal katchi tirupur northern district secretary has been murderously attacked w deadly weapons by muslim jihad"
"140","rtarab muslim girl big boobsvisitfor the full show teentits toppornsites bestporns"
"141","rtup is indias most populous statecontributes the highest number of mps to the parliament 

pls spend a month as a mus"
"142","rtmy muslim friend went to spend summer vacation to his grandmothers home now he is only mu"
"143","rtjust contributedafter reading this article feel proud ofthat there"
"144","rtthe prophet peace be upon him said that the believer is a positive thinker and not a negative thinker to further emp"
"145","rt umarfaruksadik shame on muslim stores who are inflating prices due to the pandemic it isnt just unislamic and"
"146","rta mullah laments womens empowerment and explains the reason why muslim females are refusing to be sexondemand slaves"
"147","you are a true muslim my friend an example for everyone to follow"
"148","rtjust contributedafter reading this article feel proud ofthat there"
"149","rtreported by abu dharr ra i heard the messenger of allah peace be upon him saying if somebody accuses another of disbeli"
"150","rtthe prophet peace be upon him said that the believer is a positive thinker and not a negative thinker to further emp"
"151","rtjust saw a malay girl complainung about how frustrated she is that her non muslim boyfriend isnt opening his heart to"
"152","rtmuslim detainees died in assam concentration camps ina new report reveals"
"153","why we people only care about muslims and what about other religious people 
kindly be human"
"154","rtavoid pubs clubs and theatresnow churches will they also include mosques muslim marchesspeakers corner prayersor w"
"155","rtby her own definition to express her muslimness in a western country be it the uk or usa eg she is being kafirapho"
"156","rtwhy shouldnt hindus have hindu only funding and charities including for riots and disasters muslim and christian gr"
"157","rtevery muslim voice seeking justice is crushed under the brutal repression of all sorts without any accountability from"
"158","rtif you want know islam learn from islam not muslim"
"159","rtim not muslim but this is the most disrespectful thing ive seen"
"160","damn thats actually true christian conquered all muslim countries except"
"161","rthindu makkal katchi tirupur northern district secretary has been murderously attacked w deadly weapons by muslim jihad"
"162","rtlast year a former uyghur surgeon toldchina is killing muslim concentration camp detainees and selling"
"163","rtup is indias most populous statecontributes the highest number of mps to the parliament 

pls spend a month as a mus"
"164","rtwill cair condemn this video 

hamas tv cartoon depicts terror attack in an israeli shopping mall terrorist impersonates isra"
"165","wonder how come muslim sisters hv got this courageladies are protest"
"166","rtmuslim rioters pay first installment of k to up govt as penalty for damaging public property"
"167","rtmuslim scholars around the world are issuing decrees calling it a religious duty to ban congregational prayers and save hum"
"168","rtthis tweet is so rude please respect kaabah as a holy place for muslim and please respect my religion guys i need your"
"169","rtthe prophet peace be upon him said that the believer is a positive thinker and not a negative thinker to further emp"
"170","rtpaid media has no scope to survive without muslims 
their shops are running only by spreading hate against muslim community"
"171","rtwill cair condemn this video 

hamas tv cartoon depicts terror attack in an israeli shopping mall terrorist impersonates isra"
"172","rtif you want know islam learn from islam not muslim"
"173","rttale of two cities
 in upgovernment has force the rioters to pay for damage done to public property"
"174","rtremember when seungcheol asked for permission to touch a muslim carat because she was wearing a hijab he really is the most"
"175","no this is an executive branch decisio"
"176","rtwill cair condemn this video 

hamas tv cartoon depicts terror attack in an israeli shopping mall terrorist impersonates isra"
"177","rtliberals have a problem with the muslims protesting against the fascist regime liberals love islamophobes liberals have a"
"178","pfi is collecting funds only for muslim victimsplease be look into that aspect also"
"179","rtmy heart cant 

this muslim couple owners of a corner shop in scotland assembled corona virus relief packages for the el"
"180","rtif you want know islam learn from islam not muslim"
"181","rtup is indias most populous statecontributes the highest number of mps to the parliament 

pls spend a month as a mus"
"182","rtwill cair condemn this video 

hamas tv cartoon depicts terror attack in an israeli shopping mall terrorist impersonates isra"
"183","rtmuslim armys say hi"
"184","rtwere so sorry about your moms job please have her apply for a finan"
"185","hm assured all non muslimshindu sikh jain bodh christian that they need not fear nrc a"
"186","rtwhy shouldnt hindus have hindu only funding and charities including for riots and disasters muslim and christian gr"
"187","rtremember when seungcheol asked for permission to touch a muslim carat because she was wearing a hijab he really is the most"
"188","rtshame on muslim stores who are inflating prices due to the pandemic it isnt just unislamic and unethical but also pro"
"189","rtto my muslim brothers and sisters taking excess amounts of food leaving nothing for others

wallahi you will be questi"
"190","rtthe liberal lizards brandedas hypocrite and slammed when she tweeted what is left in a country to kill for a"
"191","rtthere are many radical muslim leaders fringe groups who are instigating hatred in their public speeches"
"192","rtmuslim stabs four random people but relax cops say zero evidence its terrorrelated"
"193","rtshame on muslim stores who are inflating prices due to the pandemic it isnt just unislamic and unethical but also pro"
"194","rton the same day as christchurch attacks somebody called us and said you will be next what has happened to them will"
"195","rtwill cair condemn this video 

hamas tv cartoon depicts terror attack in an israeli shopping mall terrorist impersonates isra"
"196","the socalled lockdown on the socalled enlightened humanitarians who have taken brutal silence on the article on m"
"197","rtwill cair condemn this video 

hamas tv cartoon depicts terror attack in an israeli shopping mall terrorist impersonates isra"
"198","rtthis tweet is so rude please respect kaabah as a holy place for muslim and please respect my religion guys i need your"
"199","rtremember when seungcheol asked for permission to touch a muslim carat because she was wearing a hijab he really is the most"
"200","rtim not even muslim but this is mad disrespectful im sorry"
"201","rtapparently an italian woman went to egypt to burry her egyptian husband who died from corona she didnt tell anyone"
"202","rtshame on muslim stores who are inflating prices due to the pandemic it isnt just unislamic and unethical but also pro"
"203","rtif you want know islam learn from islam not muslim"
"204","rtthread 

here i am compiling videosphotosnews related to antimuslim pogrom delhi 
delhigenocide delhiriottruth delhige"
"205","rtwill cair condemn this video 

hamas tv cartoon depicts terror attack in an israeli shopping mall terrorist impersonates isra"
"206","rtshame on muslim stores who are inflating prices due to the pandemic it isnt just unislamic and unethical but also pro"
"207","rtbut sir while savarkar was open to let muslims live in india ambedkar was completely against it ambedkar even doubted n"
"208","rtthe abc does not like to mention the words terrorist or muslim they have no trouble in attacking our government and our"
"209","rtthis tweet is so rude please respect kaabah as a holy place for muslim and please respect my religion guys i need your"
"210","rtshame on muslim stores who are inflating prices due to the pandemic it isnt just unislamic and unethical but also pro"
"211","rtwhy shouldnt hindus have hindu only funding and charities including for riots and disasters muslim and christian gr"
"212","rtthe uttering of these words is dearer to me than anything over which the sun rises muslim"
"213","rtshame on muslim stores who are inflating prices due to the pandemic it isnt just unislamic and unethical but also pro"
"214","shaheenbaghhealthriskchennai muslim protestors are not in india if they are foreigners they come under india"
"215","why do you hate islam as a religion its fine to hate muslim people but to hate the"
"216","rtheartbreaking image of a muslim worshipper sitting outside a locked masjid as masajid in the muslim world close halting c"
"217","rtto my muslim brothers and sisters taking excess amounts of food leaving nothing for others

wallahi you will be questi"
"218","rtreported by abu dharr ra i heard the messenger of allah peace be upon him saying if somebody accuses another of disbeli"
"219","we christians the grand master was saying will fight to the death and take you with us then he returned a commu"
"220","rtwill cair condemn this video 

hamas tv cartoon depicts terror attack in an israeli shopping mall terrorist impersonates isra"
"221","rtdear muslim men

fine face and fair complexion will not raise your children

your children need a mother who can recite qur"
"222","rtallah does not look at your figures nor at your attire but he looks at your hearts and accomplishments muslim"
"223","rtremember when seungcheol asked for permission to touch a muslim carat because she was wearing a hijab he really is the most"
"224","rtthe fact that india is the kingdoms secondbiggest petroleum customer goes a long way in explaining the oics muted resp"
"225","rtremember when seungcheol asked for permission to touch a muslim carat because she was wearing a hijab he really is the most"
"226","rtmuslim students less likely to be awarded top class degrees he institutional prejudice

onlyof muslims were awa"
"227","i found this and i hope my muslim friends read this please stop risking everything cukup la"
"228","rti was having a healthy debate with a work colleague he expressed he didnt like islam based on the muslims hes met throughout"
"229","rtthis tweet is so rude please respect kaabah as a holy place for muslim and please respect my religion guys i need your"
"230","rtwe are advised to not judge all muslims by the actions of a few lunatics but we are encouraged to judge all gun owners by"
"231","rtthis was the samadhi of hemachandra vikramaditya known as hemu he was the last hindu king to sit on the throne of delhi"
"232","rtimportant advice from a muslim cleric on how to beat your wife properly

never in the face guys and no cursing allowed d"
"233","rtmuslim armys say hi"
"234","rthindu makkal katchi tirupur northern district secretary has been murderously attacked w deadly weapons by muslim jihad"
"235","rtpolice fine pedestrianfor disorderly behaviour after he tries to cover his face from facial recognition camera"
"236","rtthis tweet is so rude please respect kaabah as a holy place for muslim and please respect my religion guys i need your"
"237","rtremember when seungcheol asked for permission to touch a muslim carat because she was wearing a hijab he really is the most"
"238","assalamualaikum my friends hong kong people have officially joined east turkistan and tibet peoplebeing massacr"
"239","rtthis tweet is so rude please respect kaabah as a holy place for muslim and please respect my religion guys i need your"
"240","rtremember when seungcheol asked for permission to touch a muslim carat because she was wearing a hijab he really is the most"
"241","rtshame on muslim stores who are inflating prices due to the pandemic it isnt just unislamic and unethical but also pro"
"242","rtshame on muslim stores who are inflating prices due to the pandemic it isnt just unislamic and unethical but also pro"
"243","rtif you want know islam learn from islam not muslim"
"244","rtthis tweet is so rude please respect kaabah as a holy place for muslim and please respect my religion guys i need your"
"245","rtuk muslim who plotted jihad slaughter of soldier gotin legal aid victims of jihad attacks got nothing"
"246","rtapparently an italian woman went to egypt to burry her egyptian husband who died from corona she didnt tell anyone"
"247","this is really funny how you people justify every atrocity by pandit"
"248","rtmuslim or not niggas shouldnt be eating nasty ass pork"
"249","rtremember when seungcheol asked for permission to touch a muslim carat because she was wearing a hijab he really is the most"
"250","im a muslim and while i am arab that isnt at all a criteria you can be of any nationality an"
"251","rtif she claims to be muslimtries too hard to be like those twitter witches into magical shit and uses words like

s"
"252","rtshame on muslim stores who are inflating prices due to the pandemic it isnt just unislamic and unethical but also pro"
"253","rtto my muslim brothers and sisters taking excess amounts of food leaving nothing for others

wallahi you will be questi"
"254","rti asked questions
 coronavirus will effect only non muslim my mullas said"
"255","rtwill cair condemn this video 

hamas tv cartoon depicts terror attack in an israeli shopping mall terrorist impersonates isra"
"256","rtnobody will do anything about it because hes muslim unfortunately"
"257","rtheres the note that a regular muslim boy left for actor"
"258","muslim scholars around the world are issuing decrees calling it a religious duty to ban congregational prayers and"
"259","rtshame on muslim stores who are inflating prices due to the pandemic it isnt just unislamic and unethical but also pro"
"260","rtwhat about this

okay no wonder hes muslim he has no morality"
"261","rtshame on muslim stores who are inflating prices due to the pandemic it isnt just unislamic and unethical but also pro"
"262","rtmuslim detainees died in assam concentration camps ina new report reveals"
"263","rtif anti nationalmuslims
then modi is a muslim

cause modi hasnt done anything which is making india or indians prou"
"264","rtshame on muslim stores who are inflating prices due to the pandemic it isnt just unislamic and unethical but also pro"
"265","rtevery muslim voice seeking justice is crushed under the brutal repression of all sorts without any accountability from"
"266","my friends always thought i could tell and elaborate with reason mahabharata and ramayan better than th"
"267","health workers in hazmat suits give suspected coronavirus victim proper muslim burial"
"268","muslim fear only allah if allah given brain then why he also given us quran and laws to gove"
"269","these are just different branches like that of jamaateislami all over the world
ummah politics has been a realit"
"270","rtwhile we are teaching our children how to save lives by fighting the virus hamas muslim brotherhood is teaching its children"
"271","rtgm tweeps
the messenger of allahsaid do not invoke curses on yourself or on your children or on your possessions"
"272","there was a kashmiri muslim folk singerwho disappearedduring the peak militancy period who"
"273","rtbeing a muslim is a blessing"
"274","rtmarrying americanbritish muslim sounds fun"
"275","rtmuslim rioters pay first installment of k to up govt as penalty for damaging public property"
"276","rtbut sir while savarkar was open to let muslims live in india ambedkar was completely against it ambedkar even doubted n"
"277","rthindu makkal katchi tirupur northern district secretary has been murderously attacked w deadly weapons by muslim jihad"
"278","rtthis tweet is so rude please respect kaabah as a holy place for muslim and please respect my religion guys i need your"
"279","rttulsi is one of the few voices in congress fighting to end regime change war the policy of regime change wa"
"280","rti asked questions
 coronavirus will effect only non muslim my mullas said"
"281","rta mullah laments womens empowerment and explains the reason why muslim females are refusing to be sexondemand slaves"
"282","rtthe uttering of these words is dearer to me than anything over which the sun rises muslim"
"283","rta century earlier they dividedhindus and muslims in india who were living peacefully by creating muslim league 

n"
"284","rtstudents in manchester uk are coordinating various means of helping the elderly and vulnerable

fantastic to see our yo"
"285","rtgm tweeps
the messenger of allahsaid do not invoke curses on yourself or on your children or on your possessions"
"286","all the people willing to fight you for being religious are online btwdo you know how many self respecting athei"
"287","rtmuslim rioters pay first installment of k to up govt as penalty for damaging public propertyvia"
"288","rtjul
a muslim court has fined a yearold man for marrying an yearold girl because he didnt ask for permi"
"289","rtindias most populous state home tomillion people is hostage to the recklessness ofmuslimhating chief ministe"
"290","rtjust saw a malay girl complainung about how frustrated she is that her non muslim boyfriend isnt opening his heart to"
"291","hahaha thats funny killings muslims and then going to give tribute to another muslim salaface snake"
"292","how do they know the customer is brahmin do they ask caste before letting them in or what if any othe"
"293","dream of every muslim"
"294","rthindu makkal katchi tirupur northern district secretary has been murderously attacked w deadly weapons by muslim jihad"
"295","rtjust saw a malay girl complainung about how frustrated she is that her non muslim boyfriend isnt opening his heart to"
"296","rtyou should not disrespect islam like this if you are unhappy being a muslimplease quit the religion"
"297","britishmuslim leader of pakistani origin says their goal is to turn churches into mosques"
"298","rta muslimowned tyre market in delhi which was burned down by hindu mobs during februarys violence the market is about"
"299","rtanother nephew grandson son man and most importantly another muslim

welcome to this cruel world
may almighty allah b"
"300","rtthese bootlickers journalists who always spreading hate against muslim community in his every showdebates but surprisingl"
"301","china has gigantic scalability it can make something out of"
"302","rtif you have contracted coronavirus you should exact revenge says muslim brotherhood activist bahgat saber who has c"
"303","rtthis tweet is so rude please respect kaabah as a holy place for muslim and please respect my religion guys i need your"
"304","rtthis is the quarantine facility pakistan is giving its citizenspakistan the worlds only muslim nuclear power tha"
"305","rtremember when seungcheol asked for permission to touch a muslim carat because she was wearing a hijab he really is the most"
"306","rtmore evidence of coverup of rotherham rape gangs by british state and muslim community 

pakistani community worker ma"
"307","rtwhy shouldnt hindus have hindu only funding and charities including for riots and disasters muslim and christian gr"
"308","muslims conquer land look at where you live look at americasaustralia b"
"309","rtamus female students face three layers of resistance the administration women who are radical antifeminists and those w"
"310","sign me up

i have emails in midfeb warning my dad and"
"311","rtwhy shouldnt hindus have hindu only funding and charities including for riots and disasters muslim and christian gr"
"312","rtjust contributedafter reading this article feel proud ofthat there"
"313","rtive been coughing excessively this evening

im isolated in my room then my jewish neighbour texted me to say he will buy"
"314","rtaftergovt brings the uttar pradesh recovery of damages to public and private property ordinance"
"315","rtim not even muslim but this is mad disrespectful im sorry"
"316","rtwhy shouldnt hindus have hindu only funding and charities including for riots and disasters muslim and christian gr"
"317","and yet these people who admit to be muslim dont apply this this countrys muslims giving me headache"
"318","im not sure how lll cope without the random bulletins inviting me to join the musl"
"319","rtthis tweet is so rude please respect kaabah as a holy place for muslim and please respect my religion guys i need your"
"320","rtwill cair condemn this video 

hamas tv cartoon depicts terror attack in an israeli shopping mall terrorist impersonates isra"
"321","rtwhen a nonbeliever does good he is made to taste its reward in this world and so far as the believer is concerned a"
"322","rthindu makkal katchi tirupur northern district secretary has been murderously attacked w deadly weapons by muslim jihad"
"323","rtwhoever fulfilled the needs of his brother allah will fulfill his needs whoever brought his muslimbrother out of a dis"
"324","rtto my muslim brothers and sisters taking excess amounts of food leaving nothing for others

wallahi you will be questi"
"325","rtare british indians the new jewsto be mocked humiliated ridiculed leftists openly portray them as a lesser racefor som"
"326","rtwhy shouldnt hindus have hindu only funding and charities including for riots and disasters muslim and christian gr"
"327","rtheres the note that a regular muslim boy left for actor"
"328","rtreported by abu dharr ra i heard the messenger of allah peace be upon him saying if somebody accuses another of disbeli"
"329","rtwhy shouldnt hindus have hindu only funding and charities including for riots and disasters muslim and christian gr"
"330","rtmuslim rioters pay first installment of k to up govt as penalty for damaging public property"
"331","rtthe uttering of these words is dearer to me than anything over which the sun rises muslim"
"332","rtshame on muslim stores who are inflating prices due to the pandemic it isnt just unislamic and unethical but also pro"
"333","rtthis tweet is so rude please respect kaabah as a holy place for muslim and please respect my religion guys i need your"
"334","rtspy bosses muslim community leaders and academics warn that some people appear emboldened by last years violence

spy"
"335","rthindu makkal katchi tirupur northern district secretary has been murderously attacked w deadly weapons by muslim jihad"
"336","rta mullah laments womens empowerment and explains the reason why muslim females are refusing to be sexondemand slaves"
"337","these are for the camps info
st 
nd 
rd"
"338","rtremember when seungcheol asked for permission to touch a muslim carat because she was wearing a hijab he really is the most"
"339","rtif you want know islam learn from islam not muslim"
"340","no decent patriotic person would trust themsadly we are still effected by the holdovers of odumm"
"341","rtthis makes me regain hope for humanity

right now more than ever we need unity and solidarity

also a reminder that social"
"342","rtnot surprised at all to see a bosniak muslim being sad because the nazis lost ww

 was a great year get over it"
"343","rtwill cair condemn this video 

hamas tv cartoon depicts terror attack in an israeli shopping mall terrorist impersonates isra"
"344","rtthis tweet is so rude please respect kaabah as a holy place for muslim and please respect my religion guys i need your"
"345","rtive received lots of tweets asking why the religion of my neighbour is relevant

jewish people are often dehumanised and i"
"346","rtthe irony someone with a muslim name defending qowmu lut may allahs wrath befell all qowmu lut"
"347","rtive been coughing excessively this evening

im isolated in my room then my jewish neighbour texted me to say he will buy"
"348","rtthis tweet is so rude please respect kaabah as a holy place for muslim and please respect my religion guys i need your"
"349","rti lied to a girl that i was muslim just for some pussy now im in a relationship with her recently shes wearing a hijab"
"350","rtwhile our hindu neighbours stood frozen out of fear the brave muslim grandmother living next door was the only one who step"
